investigation_id,institucion,estado,enfoque
1,1,En progreso,Investigación sobre facturas falsas y corrupción en el SII
2,2,Cerrada,Revisión de operaciones de la CMF relacionadas con STF
3,1,En progreso,Análisis de triangulación de pagos en Factop
4,6,En progreso,Investigación sobre tráfico de influencias y corrupción en el ámbito judicial y gubernamental
5,1,En progreso,Investigación sobre el rol de Hacienda en supervisión tributaria
6,2,En progreso,Análisis de irregularidades en triangulación de pagos
7,4,En progreso,Corrupción y sobornos en regulaciones del mercado financiero
8,5,Cerrada,Caso de tráfico de influencias en proyectos fiscales
9,6,En progreso,Investigación sobre pagos ilícitos liderados por Luis Hermosilla
10,6,En progreso,Caso audios y tráfico de influencias
11,6,En progreso,Caso Parque Capital
12,6,En progreso,Caso de corrupción judicial y favores políticos
13,6,En progreso,Caso tráfico de influencias
14,6,En progreso,Caso Hermosilla y posible corrupción judicial
15,6,En progreso,Caso tráfico de influencias judiciales
